trail_name,county,trail_length,latitude,longitude,maintenance,color,hov_txt
Spur to Lake,Trigg County,0.1,36.84776,-87.92855,Good,green,<br>Trail Name: Spur to Lake <br>Description: Spur that goes down to the Lake.
Wilderness Loop,Laurel County,1.3,37.08004,-84.04171,Poor,red,"<br>Trail Name: Wilderness Loop <br>Description: Overgrown, hard to follow."
Private Trail,Laurel County,0.6,37.08027,-84.03695,Good,green,<br>Trail Name: Private Trail <br>Description: Private trail  used by 4H.
Big Bone Creek,Boone County,?,38.88378,-84.75302,,,<br>Trail Name: Big Bone Creek <br>Description: ?
Connector,Jefferson County,1.25,38.27873,-85.56337,Good,green,<br>Trail Name: Connector <br>Description: Leads through the woods off the Fitness Loop trail; passes near a small creek.
Goose Creek,Jefferson County,1.25,38.27964,-85.56452,Good,green,<br>Trail Name: Goose Creek <br>Description: Leads through the woods off the Fitness Loop trail; passes near a small creek.
Vernal Pond,Jefferson County,?,38.27792,-85.55352,,,<br>Trail Name: Vernal Pond <br>Description: ?
Connector,Jefferson County,?,38.27604,-85.55824,,,<br>Trail Name: Connector <br>Description: ?
Boy Scout,Carroll County,0.25,38.67077,-85.16196,Good,green,<br>Trail Name: Boy Scout <br>Description: Short hike descending from Fossil trail to Butler Mansion.
Connector,Boone County,?,38.87994,-84.75203,,,<br>Trail Name: Connector <br>Description: ?
Cane,Christian County,1,37.0657,-87.66528,Good,green,<br>Trail Name: Cane <br>Description: 
Lake/Ivy Connector,Harlan County, ,36.99042,-82.98762,Good,green,<br>Trail Name: Lake/Ivy Connector <br>Description: Connects Ivy & Lake trails
Buffalo to Heritage Connector,Robertson County,0.1,38.4302,-83.9925,Good,green,<br>Trail Name: Buffalo to Heritage Connector <br>Description: Connector across the highway.
Campground Connector,Robertson County,0.1,38.4263,-83.99475,Good,green,<br>Trail Name: Campground Connector <br>Description: Connects campground with Savannah Loop.
"Cabin Connection, Folklore",Grayson County,0.7,37.61853,-86.50442,Fair,orange,"<br>Trail Name: Cabin Connection, Folklore <br>Description: Leads to a cabin in the woods."
Folklore,Grayson County,0.9,37.61804,-86.50362,Fair,orange,<br>Trail Name: Folklore <br>Description: Needs markings for junctions.
Marina,Grayson County,0.8,37.60271,-86.50743,Fair,orange,<br>Trail Name: Marina <br>Description: Follows along lakeshore behind cabins and leads to lodge.
Spur to lakefront behind Lodge,Grayson County,0.1,37.60971,-86.50333,Fair,orange,"<br>Trail Name: Spur to lakefront behind Lodge <br>Description: Not a maintained trail, probably user created trail."
Spur to lake from Marina Trail,Grayson County,0.1,37.60219,-86.50732,Fair,orange,<br>Trail Name: Spur to lake from Marina Trail <br>Description: Short spur to lake.
Cedar Run,Boone County,0.5,38.88032,-84.74608,Good,green,<br>Trail Name: Cedar Run <br>Description: Loop trail from Gobblers Trace to the campground.
Monument,Robertson County,0.1,38.43363,-83.99286,Good,green,<br>Trail Name: Monument <br>Description: Leads to monument.
Buffalo Trace,Robertson County,0.2,38.43171,-83.99298,Good,green,<br>Trail Name: Buffalo Trace <br>Description: From Museum to Campground.
Heritage,Nicholas County,2.75,38.42736,-83.99223,Good,green,<br>Trail Name: Heritage <br>Description: Winds along field edge past an old fort and also passes the original site of Arlington Hotel.
